check_date,complete_date,loc,major,status,type,visa,waiting_days
2015-07-13,2015-08-13,Others,Biomolecular Engineering,Clear,New,B1,31
2015-07-13,2015-08-11,ShangHai,Computer science,Clear,New,H1,29
2015-07-13,2015-08-06,ShangHai,OPT,Clear,Renewal,F1,24
2015-07-13,0000-00-00,ShangHai,statistics,Pending,Renewal,F1,1300
2015-07-13,2015-08-06,ChengDu,Biomedical Sciences,Clear,Renewal,F1,24
2015-07-13,2015-09-22,BeiJing,N/A,Clear,New,J1,71
2015-07-13,2015-08-11,ShangHai,PH,Clear,New,J1,29
2015-07-13,2015-08-25,Others,Applied Physics,Clear,New,B1,43
2015-07-14,2015-08-07,ShangHai,Computer Science,Clear,New,F1,24
2015-07-14,0000-00-00,GuangZhou,N/A,Pending,New,B1,1299
2015-07-14,2015-08-11,ChengDu,General Chemistry,Clear,New,F1,28
2015-07-14,2015-08-06,BeiJing,ECE,Clear,New,F1,23
2015-07-14,2015-07-15,Toronto,MBA,Clear,Renewal,B1,1
2015-07-14,2015-09-22,BeiJing,Electrical Engineering,Clear,New,J1,70
2015-07-14,2015-08-07,ShangHai,Mechanical Engineering,Clear,Renewal,F1,24
2015-07-14,0000-00-00,ChengDu,physics,Pending,New,L2,1299
2015-07-14,2015-08-11,BeiJing,Chemistry,Clear,Renewal,F1,28
2015-07-14,2015-08-06,BeiJing,EE,Clear,New,F1,23
2015-07-14,2015-08-08,BeiJing,Biomedical Engineering,Clear,Renewal,F1,25
2015-07-14,2015-08-19,BeiJing,mechanics,Clear,New,J1,36
2015-07-14,2015-08-07,ShangHai,Electrical Engineering,Clear,Renewal,F1,24
2015-07-14,2015-08-13,BeiJing,ME,Clear,New,F1,30
2015-07-14,2015-08-19,BeiJing,Biology,Clear,Renewal,B1,36
2015-07-14,2015-08-14,ChengDu,Information Security,Clear,New,L1,31
2015-07-14,0000-00-00,BeiJing,EE,Pending,New,F1,1299
2015-07-14,2015-08-08,BeiJing,Biomedical Engineering,Clear,Renewal,F1,25
2015-07-14,2015-08-10,BeiJing,Petroleum Engineering,Clear,New,H1,27
2015-07-14,2015-08-06,BeiJing,Computer Engineering,Clear,New,F1,23
2015-07-14,0000-00-00,ShangHai,ME,Pending,New,F1,1299
2015-07-15,2015-08-10,GuangZhou,Chemical Engineering,Clear,New,F1,26
2015-07-15,2015-08-10,GuangZhou,Biology,Clear,Renewal,F1,26
2015-07-15,2015-08-05,Others,Marketing,Clear,Renewal,F1,21
2015-07-15,2015-08-07,ShangHai,CS,Clear,New,F1,23
2015-07-15,2015-07-23,BeiJing,English as a Second Langu,Clear,New,F1,8
2015-07-15,2015-08-06,ChengDu,EE,Clear,New,F1,22
2015-07-15,2015-08-06,ShenYang,ECE,Clear,Renewal,F1,22
2015-07-15,2015-08-10,GuangZhou,cs,Clear,New,F1,26
2015-07-15,2015-08-11,ShangHai,Microbiology,Clear,Renewal,F1,27
2015-07-15,2015-08-24,Others,ME,Clear,Renewal,B1,40
2015-07-15,2015-07-28,ChengDu,N/A,Clear,Renewal,H1,13
2015-07-15,0000-00-00,Others,Climate change,Pending,New,J1,1298
2015-07-15,2015-08-10,GuangZhou,Computer Science,Clear,Renewal,F1,26
2015-07-15,0000-00-00,ChengDu,Internal Medicince,Pending,New,J1,1298
2015-07-16,2015-08-17,BeiJing,EE,Clear,New,H4,32
2015-07-16,2015-08-10,ShangHai,EE,Clear,Renewal,F1,25
2015-07-16,0000-00-00,BeiJing,mechanical engineering,Pending,New,F1,1297
2015-07-16,2015-08-19,BeiJing,biochemistry &amp; molecule b,Clear,Renewal,B2,34
2015-07-16,2015-08-12,BeiJing,EE MS,Clear,Renewal,F1,27
2015-07-16,2015-09-15,GuangZhou,Chemestry,Clear,New,B2,61
2015-07-16,2015-08-06,BeiJing,CS,Clear,New,F1,21
2015-07-16,2015-08-06,BeiJing,Chemical Engineering,Clear,New,F1,21
2015-07-16,0000-00-00,BeiJing,N/A,Pending,New,F1,1297
2015-07-16,0000-00-00,ShangHai,Eletrical Engineering,Pending,New,H1,1297
2015-07-16,2015-08-21,BeiJing,Mathematics,Clear,New,J1,36
2015-07-16,2015-08-14,BeiJing,nuclear,Clear,New,B2,29
2015-07-16,2015-08-05,BeiJing,CS,Clear,New,F1,20
2015-07-17,2015-08-21,ShangHai,Biomedical Materials,Clear,Renewal,B1,35
2015-07-17,0000-00-00,ShangHai,EE,Pending,New,F1,1296
2015-07-17,2015-08-24,BeiJing,EE,Clear,New,H1,38
2015-07-17,2015-08-10,ShenYang,physics,Clear,Renewal,F1,24
2015-07-17,2015-08-14,ShangHai,Biostatistics,Clear,New,F1,28
2015-07-17,0000-00-00,BeiJing,N/A,Pending,New,F1,1296
2015-07-17,2015-07-22,Europe,Polymer Science,Clear,New,F1,5
2015-07-17,0000-00-00,ShangHai,EE,Pending,New,B1,1296
2015-07-17,2015-08-13,BeiJing,EE,Clear,New,F1,27
2015-07-17,2015-08-11,GuangZhou,Geophysics,Clear,New,J1,25
2015-07-17,2015-07-30,GuangZhou,N/A,Clear,Renewal,F1,13
2015-07-17,0000-00-00,Others,Chemistry,Pending,New,F1,1296
2015-07-17,2015-08-12,BeiJing,Cell and Molecular Biolog,Clear,Renewal,F1,26
2015-07-17,2015-08-06,BeiJing,N/A,Clear,New,B1,20
2015-07-20,2015-08-17,ShangHai,Chemistry,Clear,New,J1,28
2015-07-20,2015-08-25,ShangHai,pharmaceutical engineerin,Clear,New,F1,36
2015-07-20,2015-08-20,ShangHai,EE,Clear,Renewal,F1,31
2015-07-20,2015-08-18,ShangHai,N/A,Clear,New,H1,29
2015-07-20,2015-08-21,ChengDu,Electrical and Computer E,Clear,Renewal,F1,32
2015-07-20,2015-08-14,GuangZhou,Civil Engineering,Clear,New,F1,25
2015-07-20,2015-08-17,Europe,EE,Clear,Renewal,H1,28
2015-07-20,2015-08-25,ChengDu,Geophysics,Clear,Renewal,F1,36
2015-07-20,0000-00-00,GuangZhou,N/A,Pending,Renewal,H1,1293
2015-07-20,2015-08-13,BeiJing,computer science,Clear,New,F1,24
2015-07-20,2015-07-31,GuangZhou,Social Science,Clear,New,F1,11
2015-07-20,2015-08-14,BeiJing,Computer Engineering,Clear,Renewal,F1,25
2015-07-20,2015-08-19,BeiJing,computer vision,Clear,New,J1,30
2015-07-20,2015-08-17,BeiJing,materials science,Clear,New,J1,28
2015-07-20,2015-08-12,BeiJing,CS,Clear,Renewal,F1,23
2015-07-20,2015-08-17,ChengDu,Computer Sciense,Clear,New,B1,28
2015-07-20,2015-08-14,BeiJing,Computer Science and Engi,Clear,New,J1,25
2015-07-20,2015-08-10,BeiJing,Immunology-&gt;Cell biology,Clear,New,F1,21
2015-07-20,2015-08-18,BeiJing,EE,Clear,Renewal,H1,29
2015-07-20,2015-08-07,ShangHai,ME,Clear,Renewal,F1,18
2015-07-20,2015-08-25,ChengDu,Animal Science,Clear,New,J1,36
2015-07-20,2015-08-25,BeiJing,Mechanical Engineering,Clear,New,J1,36
2015-07-20,0000-00-00,BeiJing,Mechanical Engineering,Pending,New,J1,1293
2015-07-20,0000-00-00,ShangHai,Mechanical Engineering ,Pending,Renewal,F1,1293
2015-07-20,2015-08-19,BeiJing,Mechanical Engeneering,Clear,New,J1,30
2015-07-21,0000-00-00,ShangHai,computer science,Pending,New,J1,1292
2015-07-21,0000-00-00,BeiJing,Automation,Pending,New,B1,1292
2015-07-21,2015-08-20,ShangHai,ME,Clear,New,F1,30
2015-07-21,0000-00-00,ShangHai,pharmaceutical sciences,Pending,New,F1,1292
2015-07-21,0000-00-00,BeiJing,Chemistry,Pending,Renewal,H1,1292
2015-07-21,0000-00-00,BeiJing,Polymer Science,Pending,Renewal,H1,1292
2015-07-21,2015-08-21,ShangHai,N/A,Clear,Renewal,B1,31
2015-07-21,2015-08-19,ShenYang,chemistry,Clear,New,H1,29
2015-07-21,0000-00-00,ShangHai,N/A,Pending,New,B2,1292
2015-07-21,0000-00-00,GuangZhou,Biomedical Engineering,Pending,New,F1,1292
2015-07-21,2015-08-19,ShangHai,ECE,Clear,Renewal,F1,29
2015-07-22,2015-08-14,GuangZhou,Chemical Engineering,Clear,New,F1,23
2015-07-22,2015-08-18,BeiJing,EE,Clear,Renewal,J1,27
2015-07-22,2015-07-22,Others,Biomedical Sciences,Clear,New,F1,0
2015-07-22,2015-07-29,BeiJing,Computer Engineering,Clear,Renewal,F1,7
2015-07-22,2015-08-31,ShangHai,Engineering Mechanics,Clear,New,F1,40
2015-07-22,0000-00-00,GuangZhou,Agricultural Economics,Pending,Renewal,F1,1291
2015-07-22,2015-08-14,BeiJing,Biomedical Engineering,Clear,New,F1,23
2015-07-22,0000-00-00,ShangHai,Biomedical Engineering,Pending,New,F1,1291
2015-07-22,2015-08-14,BeiJing,biostatistics,Clear,New,F1,23
2015-07-22,2015-08-18,GuangZhou,CS,Clear,New,J1,27
2015-07-23,0000-00-00,ShangHai,Astrophysics,Pending,New,J1,1290
2015-07-23,2015-08-18,ShangHai,Geography(phd),Clear,Renewal,F1,26
2015-07-23,0000-00-00,BeiJing,optics,Pending,New,F1,1290
2015-07-23,2015-08-20,BeiJing,Mechanical engineering,Clear,New,F1,28
2015-07-23,2015-08-18,ShenYang,Pharmaceutics,Clear,New,J1,26
2015-07-23,2015-08-14,ShangHai,Biotech,Clear,New,F1,22
2015-07-23,2015-08-18,GuangZhou,Medicinal Chemistry,Clear,New,J1,26
2015-07-23,2015-08-24,ShangHai,Biology,Clear,New,J2,32
2015-07-23,2015-08-25,ShangHai,EE,Clear,New,B1,33
2015-07-23,2015-09-29,ShenYang,Computational Material Sc,Clear,New,J1,68
2015-07-23,2015-08-19,Toronto,biophysics,Clear,Renewal,F1,27
2015-07-23,2015-07-30,ShangHai,Data Science (MS),Clear,New,F1,7
2015-07-23,2015-08-21,ShangHai,Chemistry,Clear,New,J1,29
2015-07-23,2015-08-24,BeiJing,Trading,Clear,New,B2,32
2015-07-23,2015-08-19,BeiJing,CS,Clear,Renewal,F1,27
2015-07-24,2015-08-17,BeiJing,ECE,Clear,Renewal,F1,24
2015-07-24,2015-08-21,BeiJing,Electrical Engineering,Clear,New,J1,28
2015-07-24,0000-00-00,BeiJing,pharmaceutical sciences,Pending,Renewal,F1,1289
2015-07-24,0000-00-00,GuangZhou,Biochemistry,Pending,New,H1,1289
2015-07-24,2015-08-21,BeiJing,CS,Clear,New,F1,28
2015-07-24,2015-08-21,ShenYang,Materials engineering ,Clear,New,F1,28
2015-07-24,2015-08-19,BeiJing,Computer Science,Clear,New,J1,26
2015-07-24,0000-00-00,BeiJing,Bioinformatics,Pending,Renewal,B2,1289
2015-07-24,0000-00-00,BeiJing,Biology,Pending,New,B1,1289
2015-07-26,2015-08-25,BeiJing,Chemistry,Clear,New,B1,30
2015-07-27,2015-08-21,ChengDu,Chemistry ,Clear,New,J1,25
2015-07-27,2015-08-21,ShangHai,ME,Clear,Renewal,F1,25
2015-07-27,2015-08-26,ChengDu,Mechanical Engineering,Clear,Renewal,F1,30
2015-07-27,2015-08-21,BeiJing,Mechanical engineering ,Clear,New,J1,25
2015-07-27,0000-00-00,ShangHai,material,Pending,New,J1,1286
2015-07-27,2015-08-28,ShangHai,Computer Scinence,Clear,New,B1,32
2015-07-27,2015-08-03,BeiJing,N/A,Clear,New,B1,7
2015-07-27,0000-00-00,BeiJing,conference,Pending,New,B1,1286
2015-07-27,2015-08-28,BeiJing,Electrical Engineering,Clear,Renewal,F1,32
2015-07-27,2015-07-31,Europe,Materials Science,Clear,New,J2,4
2015-07-27,2015-08-24,ShangHai,ECE,Clear,Renewal,F1,28
2015-07-27,2015-08-18,ShangHai,Chemistry,Clear,Renewal,F1,22
2015-07-27,2015-07-28,BeiJing,N/A,Clear,New,B2,1
2015-07-27,2015-08-19,ShangHai,CS,Clear,Renewal,F1,23
2015-07-27,2015-08-11,ShangHai,Computer Science,Clear,Renewal,L1,15
2015-07-28,2015-08-21,ShangHai,ME,Clear,Renewal,F1,24
2015-07-28,2015-08-25,ShangHai,CS,Clear,New,H1,28
2015-07-28,2015-08-21,ShangHai,Biomedical Science,Clear,New,F1,24
2015-07-28,2015-08-21,ShangHai,Applied Math,Clear,Renewal,F1,24
2015-07-28,0000-00-00,BeiJing,N/A,Pending,Renewal,F1,1285
2015-07-28,2015-08-24,ShangHai,bioengineering,Clear,Renewal,F1,27
2015-07-28,0000-00-00,BeiJing,Electrical and Computer E,Pending,Renewal,F1,1285
2015-07-28,2015-08-24,BeiJing,Signal Processing,Clear,New,B1,27
2015-07-28,2015-08-20,BeiJing,EE,Clear,Renewal,F1,23
2015-07-28,2015-08-25,ChengDu,Biomedical Engineering,Clear,New,F1,28
2015-07-28,0000-00-00,ShangHai,Computer Engineering,Pending,Renewal,F1,1285
2015-07-28,2015-08-24,ShangHai,EE,Clear,New,B1,27
2015-07-28,0000-00-00,ShangHai,chemistry,Pending,New,J1,1285
2015-07-29,2015-09-02,Ottawa,EE,Clear,Renewal,H1,35
2015-07-29,2015-08-25,ChengDu,N/A,Clear,New,J1,27
2015-07-29,0000-00-00,ChengDu,Electrical Engineering,Pending,Renewal,F1,1284
2015-07-29,0000-00-00,BeiJing,CS,Pending,New,F1,1284
2015-07-29,2015-09-09,ShangHai,Telecommunication,Clear,Renewal,F1,42
2015-07-29,0000-00-00,BeiJing,N/A,Pending,New,F1,1284
2015-07-29,2015-08-24,BeiJing,N/A,Clear,New,J1,26
2015-07-29,2015-08-21,BeiJing,CS,Clear,New,F1,23
2015-07-29,2015-09-01,ChengDu,Molecular Bio,Clear,New,H1,34
2015-07-29,2015-08-21,ShangHai,Material Science,Clear,Renewal,F1,23
2015-07-30,2015-08-26,ShangHai,Electrical Engineering,Clear,New,H1,27
2015-07-30,0000-00-00,ShangHai,Master of Plant Health Ma,Pending,New,F1,1283
2015-07-30,2015-08-24,BeiJing,EE,Clear,New,F1,25
2015-07-30,2015-08-24,BeiJing,EE,Clear,New,F1,25
2015-07-30,2015-08-24,BeiJing,EE,Clear,Renewal,F1,25
2015-07-30,2015-08-06,BeiJing,Journalism,Clear,New,B2,7
2015-07-30,0000-00-00,BeiJing,Computer Science,Pending,New,B2,1283
2015-07-30,0000-00-00,HongKong,marine physics,Pending,New,F1,1283
2015-07-30,2015-08-24,ShangHai,Biostatistics,Clear,New,F1,25
2015-07-30,2015-08-05,BeiJing,Petroleum,Clear,Renewal,F1,6
2015-07-30,2015-08-07,BeiJing,Marketing,Clear,Renewal,F1,8
2015-07-30,0000-00-00,ShangHai,Chem Eng,Pending,Renewal,F1,1283
2015-07-30,2015-08-27,Toronto,CS,Clear,New,H1,28
2015-07-30,2015-09-01,BeiJing,Chemistry,Clear,New,H1,33
2015-07-31,2016-05-23,BeiJing,Geodesy and Survey Engine,Clear,New,J1,297
2015-07-31,2015-08-19,Ottawa,N/A,Clear,New,L1,19
2015-07-31,2015-08-24,BeiJing,EE,Clear,New,B1,24
2015-07-31,2015-08-04,GuangZhou,N/A,Clear,Renewal,B2,4
2015-07-31,0000-00-00,BeiJing,N/A,Pending,New,J1,1282
2015-07-31,2015-08-21,GuangZhou,Material Science,Clear,New,J1,21
2015-07-31,2015-09-11,BeiJing,EE,Clear,New,H1,42
2015-07-31,2015-08-21,ShangHai,Environmental Engineering,Clear,New,F1,21
2015-07-31,2015-08-25,ShangHai,Environmental Engineering,Clear,Renewal,B1,25
2015-07-31,0000-00-00,BeiJing,N/A,Pending,New,B1,1282
2015-07-31,2015-09-03,ShangHai,Chemical Engineering,Clear,New,B1,34
2015-07-31,2015-08-23,BeiJing,EE,Clear,Renewal,F1,23
2015-07-31,2015-08-05,ChengDu,EE,Clear,Renewal,F1,5
2015-07-31,2015-08-28,BeiJing,CS,Clear,New,B1,28
2015-07-31,0000-00-00,BeiJing,signal processing,Pending,New,B2,1282
